target_id	length	eff_length	est_counts	tpm
ATMG00010.1	462	275.416	3	0.767461
ATMG00030.1	324	146.966	1608	770.892
ATMG00040.1	948	759.773	9.71019	0.900469
ATMG00050.1	396	212.059	1.28981	0.428541
ATMG00060.1	542	354.235	29	5.76808
ATMG00070.1	573	385.014	95	17.3849
ATMG00080.1	540	352.235	225.868	45.1801
ATMG00090.1	1671	1482.77	375.132	17.8252
ATMG00100.1	73	12.5294	1	5.62333
ATMG00110.1	621	432.773	13	2.11645
ATMG00120.1	432	246.325	1	0.286033
ATMG00130.1	366	184.024	3	1.14861
ATMG00140.1	504	316.569	2	0.445129
ATMG00150.1	351	170.773	2	0.825153
ATMG00160.1	783	594.773	31.3905	3.71854
ATMG00170.1	420	234.783	4	1.20038
ATMG00180.1	1359	1170.77	0	0
ATMG00190.1	74	12.8333	0	0
ATMG00200.1	324	146.966	9	4.31469
ATMG00210.1	558	370.127	0	0
ATMG00220.1	1182	993.773	0	0
ATMG00230.1	85	8.54118	0	0
ATMG00240.1	336	157.53	0	0
ATMG00250.1	74	12.8333	0	0
ATMG00260.1	306	131.994	0	0
ATMG00270.1	618	429.773	15.631	2.56255
ATMG00280.1	333	154.84	1.00247	0.456155
ATMG00285.1	578	389.975	6.62941	1.19774
ATMG00290.1	1089	900.773	1.8108	0.141638
ATMG00300.1	438	252.099	0	0
ATMG00310.1	465	278.277	0	0
ATMG00320.1	384	200.769	0	0
ATMG00330.1	88	8.68595	4.5	36.5022
ATMG00340.1	75	12	0	0
ATMG00350.1	75	12	0	0
ATMG00360.1	111	12.5611	0	0
ATMG00370.1	600	411.857	0	0
ATMG00380.1	62	16	0	0
ATMG00390.1	83	8.72308	1.30942	10.5763
ATMG00400.1	474	287.107	6	1.47242
ATMG00410.1	1321	1132.77	31.0499	1.93127
ATMG00420.1	87	8.61111	0	0
ATMG00430.1	321	144.412	1	0.487888
ATMG00440.1	459	272.471	0.75	0.193939
ATMG00450.1	321	144.412	2	0.975775
ATMG00460.1	74	12.8333	0	0
ATMG00470.1	369	186.815	0	0
ATMG00480.1	477	290.02	27	6.55933
ATMG00490.1	324	146.966	0	0
ATMG00500.1	426	240.545	0.000439007	0.000128588
ATMG00510.1	1185	996.773	154.111	10.8934
ATMG00513.1	1446	1257.77	4.81623	0.269792
ATMG00516.1	318	141.807	2.9491	1.46526
ATMG00520.1	2019	1830.77	11.087	0.426682
ATMG00530.1	330	152.194	1.19499	0.553211
ATMG00540.1	369	186.815	1	0.377149
ATMG00550.1	483	295.874	0	0
ATMG00560.1	1050	861.773	21.4584	1.7544
ATMG00570.1	861	672.773	6.81884	0.714112
ATMG00580.1	1488	1299.77	32.7559	1.77561
ATMG00590.1	942	753.773	46.5	4.34647
ATMG00600.1	321	144.412	2	0.975775
ATMG00610.1	486	298.814	0	0
ATMG00620.1	420	234.783	4	1.20038
ATMG00630.1	333	154.84	4	1.82013
ATMG00640.1	579	390.975	42	7.56875
ATMG00650.1	303	129.53	19	10.3349
ATMG00660.1	450	263.66	74	19.7748
